county,county_fips,evacuation_type,cbg_fips
brazoria,48039,voluntary,480396601001
brazoria,48039,voluntary,480396601002
brazoria,48039,voluntary,480396601003
brazoria,48039,voluntary,480396602001
brazoria,48039,voluntary,480396602002
brazoria,48039,voluntary,480396602003
brazoria,48039,voluntary,480396603001
brazoria,48039,voluntary,480396603002
brazoria,48039,voluntary,480396603003
brazoria,48039,voluntary,480396604001
brazoria,48039,voluntary,480396604002
brazoria,48039,voluntary,480396604003
brazoria,48039,voluntary,480396605001
brazoria,48039,voluntary,480396605002
brazoria,48039,voluntary,480396605003
brazoria,48039,voluntary,480396605004
brazoria,48039,voluntary,480396605005
brazoria,48039,voluntary,480396605006
brazoria,48039,voluntary,480396606011
brazoria,48039,voluntary,480396606012
brazoria,48039,voluntary,480396606013
brazoria,48039,voluntary,480396606014
brazoria,48039,voluntary,480396606021
brazoria,48039,voluntary,480396606022
brazoria,48039,voluntary,480396607011
brazoria,48039,voluntary,480396607012
brazoria,48039,voluntary,480396607013
brazoria,48039,voluntary,480396607014
brazoria,48039,voluntary,480396607015
brazoria,48039,voluntary,480396607021
brazoria,48039,voluntary,480396607022
brazoria,48039,voluntary,480396607023
brazoria,48039,voluntary,480396608011
brazoria,48039,voluntary,480396608012
brazoria,48039,voluntary,480396608013
brazoria,48039,voluntary,480396608021
brazoria,48039,voluntary,480396608022
brazoria,48039,voluntary,480396608023
brazoria,48039,voluntary,480396609001
brazoria,48039,voluntary,480396609002
brazoria,48039,voluntary,480396609003
brazoria,48039,voluntary,480396609004
brazoria,48039,voluntary,480396610001
brazoria,48039,voluntary,480396610002
brazoria,48039,voluntary,480396610003
brazoria,48039,voluntary,480396611001
brazoria,48039,voluntary,480396611002
brazoria,48039,voluntary,480396612001
brazoria,48039,voluntary,480396612002
brazoria,48039,voluntary,480396612003
brazoria,48039,voluntary,480396613001
brazoria,48039,voluntary,480396613002
brazoria,48039,voluntary,480396613003
brazoria,48039,voluntary,480396614001
brazoria,48039,voluntary,480396614002
brazoria,48039,voluntary,480396614003
brazoria,48039,voluntary,480396614004
brazoria,48039,voluntary,480396614005
brazoria,48039,voluntary,480396614006
brazoria,48039,voluntary,480396615011
brazoria,48039,voluntary,480396615012
brazoria,48039,voluntary,480396615013
brazoria,48039,voluntary,480396615021
brazoria,48039,voluntary,480396615022
brazoria,48039,voluntary,480396616011
brazoria,48039,voluntary,480396616012
brazoria,48039,voluntary,480396616013
brazoria,48039,voluntary,480396616014
brazoria,48039,voluntary,480396616021
brazoria,48039,voluntary,480396616022
brazoria,48039,voluntary,480396617001
brazoria,48039,voluntary,480396617002
brazoria,48039,voluntary,480396617003
brazoria,48039,voluntary,480396618001
brazoria,48039,voluntary,480396618002
brazoria,48039,voluntary,480396619001
brazoria,48039,voluntary,480396619002
brazoria,48039,voluntary,480396619003
brazoria,48039,voluntary,480396619004
brazoria,48039,voluntary,480396620001
brazoria,48039,voluntary,480396620002
brazoria,48039,voluntary,480396620003
brazoria,48039,voluntary,480396620004
brazoria,48039,voluntary,480396620005
brazoria,48039,voluntary,480396621001
brazoria,48039,voluntary,480396621002
brazoria,48039,voluntary,480396621003
brazoria,48039,voluntary,480396622001
brazoria,48039,voluntary,480396622002
brazoria,48039,voluntary,480396622003
brazoria,48039,voluntary,480396622004
brazoria,48039,voluntary,480396623001
brazoria,48039,voluntary,480396623002
brazoria,48039,voluntary,480396623003
brazoria,48039,voluntary,480396623004
brazoria,48039,voluntary,480396624001
brazoria,48039,voluntary,480396624002
brazoria,48039,voluntary,480396624003
brazoria,48039,voluntary,480396624004
brazoria,48039,voluntary,480396625001
brazoria,48039,voluntary,480396625002
brazoria,48039,voluntary,480396626001
brazoria,48039,voluntary,480396626002
